"zip","type","primary_city","state","county","latitude","longitude","population"
"77534","STANDARD","Danbury","TX","Brazoria County",29.22,-95.34,2815
"77535","STANDARD","Dayton","TX","Liberty County",30.05,-94.89,23707
"77536","STANDARD","Deer Park","TX","Harris County",29.69,-95.11,29655
"77538","STANDARD","Devers","TX","Liberty County",30.02,-94.58,754
"77539","STANDARD","Dickinson","TX","Galveston County",29.45,-95.06,30229
"77541","STANDARD","Freeport","TX","Brazoria County",28.95,-95.36,14762
"77545","STANDARD","Fresno","TX","Fort Bend County",29.53,-95.45,13691
"77546","STANDARD","Friendswood","TX","Galveston County",29.51,-95.19,45765
"77547","STANDARD","Galena Park","TX","Harris County",29.74,-95.23,9513
"77550","STANDARD","Galveston","TX","Galveston County",29.3,-94.79,20109
"77551","STANDARD","Galveston","TX","Galveston County",29.3,-94.79,17715
"77554","STANDARD","Galveston","TX","Galveston County",29.3,-94.79,6687
"77555","UNIQUE","Galveston","TX","Galveston County",29.3,-94.79,173
"77560","STANDARD","Hankamer","TX","Chambers County",29.87,-94.57,1001
"77562","STANDARD","Highlands","TX","Harris County",29.81,-95.05,9887
"77563","STANDARD","Hitchcock","TX","Galveston County",29.31,-95.01,8177
"77564","STANDARD","Hull","TX","Liberty County",30.13,-94.65,1461
"77565","STANDARD","Kemah","TX","Galveston County",29.52,-95.02,6006
"77566","STANDARD","Lake Jackson","TX","Brazoria County",29.04,-95.44,28661
"77568","STANDARD","La Marque","TX","Galveston County",29.36,-94.99,12386
"77571","STANDARD","La Porte","TX","Harris County",29.66,-95.04,33420
"77573","STANDARD","League City","TX","Galveston County",29.48,-95.1,56686
"77575","STANDARD","Liberty","TX","Liberty County",30.04,-94.79,12069
"77577","STANDARD","Liverpool","TX","Brazoria County",29.29,-95.27,1105
"77578","STANDARD","Manvel","TX","Brazoria County",29.48,-95.35,10155
"77581","STANDARD","Pearland","TX","Brazoria County",29.55,-95.27,35799
"77583","STANDARD","Rosharon","TX","Brazoria County",29.37,-95.45,13892
"77584","STANDARD","Pearland","TX","Brazoria County",29.55,-95.27,52866
"77585","STANDARD","Saratoga","TX","Hardin County",30.28,-94.52,804
"77586","STANDARD","Seabrook","TX","Harris County",29.56,-95.02,20477
"77587","STANDARD","South Houston","TX","Harris County",29.66,-95.22,15339
"77590","STANDARD","Texas City","TX","Galveston County",29.4,-94.95,25897
"77591","STANDARD","Texas City","TX","Galveston County",29.4,-94.95,10278
"77597","STANDARD","Wallisville","TX","Chambers County",29.86,-94.69,680
"77598","STANDARD","Webster","TX","Harris County",29.53,-95.11,16206
"77611","STANDARD","Bridge City","TX","Orange County",30.02,-93.85,9003
"77612","STANDARD","Buna","TX","Jasper County",30.44,-93.96,7387
"77616","STANDARD","Fred","TX","Tyler County",30.57,-94.17,1093
"77619","STANDARD","Groves","TX","Jefferson County",29.94,-93.91,14635
"77622","STANDARD","Hamshire","TX","Jefferson County",29.86,-94.31,1575
"77623","STANDARD","High Island","TX","Galveston County",29.56,-94.38,335
"77624","STANDARD","Hillister","TX","Tyler County",30.66,-94.38,729
"77625","STANDARD","Kountze","TX","Hardin County",30.37,-94.31,7188
"77627","STANDARD","Nederland","TX","Jefferson County",29.97,-93.99,20936
"77630","STANDARD","Orange","TX","Orange County",30.1,-93.75,21844
"77632","STANDARD","Orange","TX","Orange County",30.1,-93.75,18288
"77640","STANDARD","Port Arthur","TX","Jefferson County",29.89,-93.92,13914
"77642","STANDARD","Port Arthur","TX","Jefferson County",29.89,-93.92,29797
"77651","STANDARD","Port Neches","TX","Jefferson County",29.97,-93.94,12281
"77655","STANDARD","Sabine Pass","TX","Jefferson County",29.73,-93.89,440
"77656","STANDARD","Silsbee","TX","Hardin County",30.34,-94.18,14970
"77657","STANDARD","Lumberton","TX","Hardin County",30.26,-94.2,17098
"77659","STANDARD","Sour Lake","TX","Hardin County",30.13,-94.4,4717
"77660","STANDARD","Spurger","TX","Tyler County",30.69,-94.17,1458
"77662","STANDARD","Vidor","TX","Orange County",30.12,-94,21822
"77664","STANDARD","Warren","TX","Tyler County",30.61,-94.4,2352
"77665","STANDARD","Winnie","TX","Chambers County",29.81,-94.38,5407
"77701","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,11798
"77702","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,2570
"77703","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,11439
"77705","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,22573
"77706","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,24756
"77707","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,14579
"77708","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,9579
"77713","STANDARD","Beaumont","TX","Jefferson County",30.08,-94.14,9449
"77801","STANDARD","Bryan","TX","Brazos County",30.66,-96.36,8298
"77802","STANDARD","Bryan","TX","Brazos County",30.66,-96.36,18068
"77803","STANDARD","Bryan","TX","Brazos County",30.66,-96.36,23639
"77807","STANDARD","Bryan","TX","Brazos County",30.66,-96.36,6562
"77808","STANDARD","Bryan","TX","Brazos County",30.66,-96.36,9127
"77830","STANDARD","Anderson","TX","Grimes County",30.55,-96.03,2220
"77831","STANDARD","Bedias","TX","Grimes County",30.74,-95.92,2440
"77833","STANDARD","Brenham","TX","Washington County",30.15,-96.39,21636
"77835","STANDARD","Burton","TX","Washington County",30.17,-96.59,2127
"77836","STANDARD","Caldwell","TX","Burleson County",30.52,-96.7,9781
"77837","STANDARD","Calvert","TX","Robertson County",30.97,-96.67,1383
"77840","STANDARD","College Station","TX","Brazos County",30.6,-96.31,18060
"77843","UNIQUE","College Station","TX","Brazos County",30.6,-96.31,107
"77845","STANDARD","College Station","TX","Brazos County",30.6,-96.31,34702
"77853","STANDARD","Dime Box","TX","Lee County",30.35,-96.81,968
"77856","STANDARD","Franklin","TX","Robertson County",31.02,-96.48,3849
"77859","STANDARD","Hearne","TX","Robertson County",30.87,-96.59,6432
"77861","STANDARD","Iola","TX","Grimes County",30.73,-96.07,1853
"77864","STANDARD","Madisonville","TX","Madison County",30.95,-95.9,6592
"77865","STANDARD","Marquez","TX","Leon County",31.23,-96.25,1432
"77868","STANDARD","Navasota","TX","Grimes County",30.38,-96.08,11462
"77871","STANDARD","Normangee","TX","Leon County",31.03,-96.11,3024
"77872","STANDARD","North Zulch","TX","Madison County",30.93,-96.08,1457
"77873","STANDARD","Richards","TX","Grimes County",30.54,-95.86,1037
"77879","STANDARD","Somerville","TX","Burleson County",30.34,-96.53,3639
"77880","STANDARD","Washington","TX","Washington County",30.33,-96.22,1586
"77901","STANDARD","Victoria","TX","Victoria County",28.82,-96.98,33817
"77904","STANDARD","Victoria","TX","Victoria County",28.82,-96.98,23114
"77905","STANDARD","Victoria","TX","Victoria County",28.82,-96.98,12755
"77954","STANDARD","Cuero","TX","De Witt County",29.09,-97.28,8712
"77957","STANDARD","Edna","TX","Jackson County",28.97,-96.64,7294
"77962","STANDARD","Ganado","TX","Jackson County",29.04,-96.51,3283
"77963","STANDARD","Goliad","TX","Goliad County",28.66,-97.39,4751
"77964","STANDARD","Hallettsville","TX","Lavaca County",29.44,-96.94,7146
"77968","STANDARD","Inez","TX","Victoria County",28.87,-96.79,2510
"77971","STANDARD","Lolita","TX","Jackson County",28.81,-96.44,791
"77974","STANDARD","Meyersville","TX","De Witt County",28.92,-97.3,417
"77975","STANDARD","Moulton","TX","Lavaca County",29.57,-97.14,1671
"77979","STANDARD","Port Lavaca","TX","Calhoun County",28.61,-96.62,15074
"77983","STANDARD","Seadrift","TX","Calhoun County",28.41,-96.71,1818
"77984","STANDARD","Shiner","TX","Lavaca County",29.43,-97.17,3950
"77990","STANDARD","Tivoli","TX","Refugio County",28.43,-96.88,700
"77994","STANDARD","Westhoff","TX","De Witt County",29.2,-97.46,357
